373.12,255.17
374.83,244.31
376.54,314.35
378.25,342.65
379.96,291.9
381.67,250.6
383.38,227.9
385.08,262.39
386.79,268.35
388.5,272.08
390.21,295.17
391.92,260.83
393.63,199.49
395.34,235.06
397.05,247.77
398.76,367.68
400.47,441.04
402.18,468.84
403.89,459.19
405.6,436.98
407.31,429.75
409.01,453.41
410.72,453.04
412.43,460.81
414.14,459
415.85,463.78
417.56,445.03
419.27,428.44
420.98,431.84
422.69,424.16
424.4,420.82
426.11,408.74
427.82,370.84
429.53,327.74
431.25,351.22
432.96,410.6
434.67,427.51
436.38,435.77
438.09,410.05
439.8,401.31
441.51,419.75
443.22,432.03
444.93,414.36
446.64,430.74
448.35,462.38
450.06,470
451.77,468.4
453.48,457.59
455.2,463.95
456.91,465.28
458.62,456.51
460.33,455.03
462.04,451.31
463.75,430.96
465.46,423.25
467.17,450.44
468.89,452.87
470.6,446.98
472.31,450.14
474.02,444.04
475.73,443.86
477.44,443.2
479.16,436.8
480.87,436.7
482.58,435.14
484.29,425.24
486,396.36
487.72,382.48
489.43,403.01
491.14,408.14
492.85,405.08
494.56,418.21
496.28,420.18
497.99,409.47
499.7,395.06
501.41,384.76
503.13,387.98
504.84,389.52
506.55,392.11
508.26,386.33
509.98,386.06
511.69,372.53
513.4,349.46
515.11,344.74
516.83,331.98
518.54,340.64
520.25,356.45
521.97,370.03
523.68,371.17
525.39,359.69
527.11,342.83
528.82,356.48
530.53,359.38
532.25,347.96
533.96,348.72
535.67,353.85
537.39,342.92
539.1,337.61
540.81,331.02
542.53,331.93
544.24,333.29
545.95,340.82
547.67,338.79
549.38,335.69
551.1,333.97
552.81,331.33
554.52,330.6
556.24,323.23
557.95,300.15
559.67,290.43
561.38,308.61
563.1,312.66
564.81,310.58
566.52,308.72
568.24,303.84
569.95,296.73
571.67,296.33
573.38,298.78
575.1,294.77
576.81,290.74
578.53,281.66
580.24,276.31
581.96,285.02
583.67,290.55
585.39,287.17
587.1,280.62
588.82,262.41
590.53,262.96
592.25,272.23
593.96,271.14
595.68,270.7
597.39,272.27
599.11,270.92
600.82,266.69
602.54,263.44
604.25,264.89
605.97,262.97
607.69,260.11
609.4,255.84
611.12,252.23
612.83,249.93
614.55,245.47
616.26,234.78
617.98,238.97
619.7,245.85
621.41,244.92
623.13,241.33
624.85,237.84
626.56,235.27
628.28,232.67
629.99,231.89
631.71,232.04
633.43,230.66
635.14,230.27
636.86,231.76
638.58,229.72
640.29,226.22
642.01,224.49
643.73,220.62
645.44,218.8
647.16,215.65
648.88,212.25
650.59,213.08
652.31,215.85
654.03,211.01
655.74,196.3
657.46,196.79
659.18,207.8
660.9,211.48
662.61,210.96
664.33,209.61
666.05,209.15
667.77,207.69
669.48,206.25
671.2,203.7
672.92,202.3
674.64,201.64
676.35,200.84
678.07,200.12
679.79,198.83
681.51,197.23
683.23,195.02
684.94,189.85
686.66,172.58
688.38,162.3
690.1,167.02
691.82,172.89
693.53,175
695.25,177.03
696.97,179.03
698.69,176.49
700.41,172.73
702.13,172.14
703.84,174.13
705.56,174.47
707.28,173.9
709,172.93
710.72,170.88
712.44,168.8
714.16,168.28
715.88,161.93
717.59,148.42
719.31,141.3
721.03,147.1
722.75,149.77
724.47,143.59
726.19,141.81
727.91,141.34
729.63,141.71
731.35,143.49
733.07,148.39
734.79,149.94
736.51,149.31
738.23,149.97
739.95,149.95
